instance_id,city_zh,city_code,city_name_en,scale,pattern,seed,instance_dir,generation_config
GISB-BJS-CZ-100-S056,北京,BJS,Beijing central area,100,CZ,56,data/instances/GISB-BJS-CZ-100-S056,metadata/generation_configs/gis_b_bjs_cz_100_s056.json
GISB-BJS-CZ-100-S078,北京,BJS,Beijing central area,100,CZ,78,data/instances/GISB-BJS-CZ-100-S078,metadata/generation_configs/gis_b_bjs_cz_100_s078.json
GISB-BJS-CZ-100-S090,北京,BJS,Beijing central area,100,CZ,90,data/instances/GISB-BJS-CZ-100-S090,metadata/generation_configs/gis_b_bjs_cz_100_s090.json
GISB-BJS-CU-500-S012,北京,BJS,Beijing central area,500,CU,12,data/instances/GISB-BJS-CU-500-S012,metadata/generation_configs/gis_b_bjs_cu_500_s012.json
GISB-BJS-CU-500-S034,北京,BJS,Beijing central area,500,CU,34,data/instances/GISB-BJS-CU-500-S034,metadata/generation_configs/gis_b_bjs_cu_500_s034.json
GISB-BJS-CU-500-S056,北京,BJS,Beijing central area,500,CU,56,data/instances/GISB-BJS-CU-500-S056,metadata/generation_configs/gis_b_bjs_cu_500_s056.json
GISB-BJS-CU-500-S078,北京,BJS,Beijing central area,500,CU,78,data/instances/GISB-BJS-CU-500-S078,metadata/generation_configs/gis_b_bjs_cu_500_s078.json
GISB-BJS-CU-500-S090,北京,BJS,Beijing central area,500,CU,90,data/instances/GISB-BJS-CU-500-S090,metadata/generation_configs/gis_b_bjs_cu_500_s090.json
GISB-BJS-CH-500-S012,北京,BJS,Beijing central area,500,CH,12,data/instances/GISB-BJS-CH-500-S012,metadata/generation_configs/gis_b_bjs_ch_500_s012.json
GISB-BJS-CH-500-S034,北京,BJS,Beijing central area,500,CH,34,data/instances/GISB-BJS-CH-500-S034,metadata/generation_configs/gis_b_bjs_ch_500_s034.json
GISB-BJS-CH-500-S056,北京,BJS,Beijing central area,500,CH,56,data/instances/GISB-BJS-CH-500-S056,metadata/generation_configs/gis_b_bjs_ch_500_s056.json
GISB-BJS-CH-500-S078,北京,BJS,Beijing central area,500,CH,78,data/instances/GISB-BJS-CH-500-S078,metadata/generation_configs/gis_b_bjs_ch_500_s078.json
GISB-BJS-CH-500-S090,北京,BJS,Beijing central area,500,CH,90,data/instances/GISB-BJS-CH-500-S090,metadata/generation_configs/gis_b_bjs_ch_500_s090.json
GISB-BJS-CZ-500-S012,北京,BJS,Beijing central area,500,CZ,12,data/instances/GISB-BJS-CZ-500-S012,metadata/generation_configs/gis_b_bjs_cz_500_s012.json
GISB-BJS-CZ-500-S034,北京,BJS,Beijing central area,500,CZ,34,data/instances/GISB-BJS-CZ-500-S034,metadata/generation_configs/gis_b_bjs_cz_500_s034.json
GISB-BJS-CZ-500-S056,北京,BJS,Beijing central area,500,CZ,56,data/instances/GISB-BJS-CZ-500-S056,metadata/generation_configs/gis_b_bjs_cz_500_s056.json
GISB-BJS-CZ-500-S078,北京,BJS,Beijing central area,500,CZ,78,data/instances/GISB-BJS-CZ-500-S078,metadata/generation_configs/gis_b_bjs_cz_500_s078.json
GISB-BJS-CZ-500-S090,北京,BJS,Beijing central area,500,CZ,90,data/instances/GISB-BJS-CZ-500-S090,metadata/generation_configs/gis_b_bjs_cz_500_s090.json
GISB-BJS-CU-1000-S012,北京,BJS,Beijing central area,1000,CU,12,data/instances/GISB-BJS-CU-1000-S012,metadata/generation_configs/gis_b_bjs_cu_1000_s012.json
GISB-BJS-CU-1000-S034,北京,BJS,Beijing central area,1000,CU,34,data/instances/GISB-BJS-CU-1000-S034,metadata/generation_configs/gis_b_bjs_cu_1000_s034.json
GISB-BJS-CU-1000-S056,北京,BJS,Beijing central area,1000,CU,56,data/instances/GISB-BJS-CU-1000-S056,metadata/generation_configs/gis_b_bjs_cu_1000_s056.json
GISB-BJS-CU-1000-S078,北京,BJS,Beijing central area,1000,CU,78,data/instances/GISB-BJS-CU-1000-S078,metadata/generation_configs/gis_b_bjs_cu_1000_s078.json
GISB-BJS-CU-1000-S090,北京,BJS,Beijing central area,1000,CU,90,data/instances/GISB-BJS-CU-1000-S090,metadata/generation_configs/gis_b_bjs_cu_1000_s090.json
GISB-BJS-CH-1000-S012,北京,BJS,Beijing central area,1000,CH,12,data/instances/GISB-BJS-CH-1000-S012,metadata/generation_configs/gis_b_bjs_ch_1000_s012.json
GISB-BJS-CH-1000-S034,北京,BJS,Beijing central area,1000,CH,34,data/instances/GISB-BJS-CH-1000-S034,metadata/generation_configs/gis_b_bjs_ch_1000_s034.json
GISB-BJS-CH-1000-S056,北京,BJS,Beijing central area,1000,CH,56,data/instances/GISB-BJS-CH-1000-S056,metadata/generation_configs/gis_b_bjs_ch_1000_s056.json
GISB-BJS-CH-1000-S078,北京,BJS,Beijing central area,1000,CH,78,data/instances/GISB-BJS-CH-1000-S078,metadata/generation_configs/gis_b_bjs_ch_1000_s078.json
GISB-BJS-CH-1000-S090,北京,BJS,Beijing central area,1000,CH,90,data/instances/GISB-BJS-CH-1000-S090,metadata/generation_configs/gis_b_bjs_ch_1000_s090.json
GISB-BJS-CZ-1000-S012,北京,BJS,Beijing central area,1000,CZ,12,data/instances/GISB-BJS-CZ-1000-S012,metadata/generation_configs/gis_b_bjs_cz_1000_s012.json
GISB-BJS-CZ-1000-S034,北京,BJS,Beijing central area,1000,CZ,34,data/instances/GISB-BJS-CZ-1000-S034,metadata/generation_configs/gis_b_bjs_cz_1000_s034.json
GISB-BJS-CZ-1000-S056,北京,BJS,Beijing central area,1000,CZ,56,data/instances/GISB-BJS-CZ-1000-S056,metadata/generation_configs/gis_b_bjs_cz_1000_s056.json
GISB-BJS-CZ-1000-S078,北京,BJS,Beijing central area,1000,CZ,78,data/instances/GISB-BJS-CZ-1000-S078,metadata/generation_configs/gis_b_bjs_cz_1000_s078.json
GISB-BJS-CZ-1000-S090,北京,BJS,Beijing central area,1000,CZ,90,data/instances/GISB-BJS-CZ-1000-S090,metadata/generation_configs/gis_b_bjs_cz_1000_s090.json
GISB-SHA-CU-100-S012,上海,SHA,Shanghai central area,100,CU,12,data/instances/GISB-SHA-CU-100-S012,metadata/generation_configs/gis_b_sha_cu_100_s012.json
GISB-SHA-CU-100-S034,上海,SHA,Shanghai central area,100,CU,34,data/instances/GISB-SHA-CU-100-S034,metadata/generation_configs/gis_b_sha_cu_100_s034.json
GISB-SHA-CU-100-S056,上海,SHA,Shanghai central area,100,CU,56,data/instances/GISB-SHA-CU-100-S056,metadata/generation_configs/gis_b_sha_cu_100_s056.json
GISB-SHA-CU-100-S078,上海,SHA,Shanghai central area,100,CU,78,data/instances/GISB-SHA-CU-100-S078,metadata/generation_configs/gis_b_sha_cu_100_s078.json
GISB-SHA-CU-100-S090,上海,SHA,Shanghai central area,100,CU,90,data/instances/GISB-SHA-CU-100-S090,metadata/generation_configs/gis_b_sha_cu_100_s090.json
GISB-SHA-CH-100-S012,上海,SHA,Shanghai central area,100,CH,12,data/instances/GISB-SHA-CH-100-S012,metadata/generation_configs/gis_b_sha_ch_100_s012.json
GISB-SHA-CH-100-S034,上海,SHA,Shanghai central area,100,CH,34,data/instances/GISB-SHA-CH-100-S034,metadata/generation_configs/gis_b_sha_ch_100_s034.json
GISB-SHA-CH-100-S056,上海,SHA,Shanghai central area,100,CH,56,data/instances/GISB-SHA-CH-100-S056,metadata/generation_configs/gis_b_sha_ch_100_s056.json
GISB-SHA-CH-100-S078,上海,SHA,Shanghai central area,100,CH,78,data/instances/GISB-SHA-CH-100-S078,metadata/generation_configs/gis_b_sha_ch_100_s078.json
GISB-SHA-CH-100-S090,上海,SHA,Shanghai central area,100,CH,90,data/instances/GISB-SHA-CH-100-S090,metadata/generation_configs/gis_b_sha_ch_100_s090.json
GISB-SHA-CZ-100-S012,上海,SHA,Shanghai central area,100,CZ,12,data/instances/GISB-SHA-CZ-100-S012,metadata/generation_configs/gis_b_sha_cz_100_s012.json
GISB-SHA-CZ-100-S034,上海,SHA,Shanghai central area,100,CZ,34,data/instances/GISB-SHA-CZ-100-S034,metadata/generation_configs/gis_b_sha_cz_100_s034.json
GISB-SHA-CZ-100-S056,上海,SHA,Shanghai central area,100,CZ,56,data/instances/GISB-SHA-CZ-100-S056,metadata/generation_configs/gis_b_sha_cz_100_s056.json
GISB-SHA-CZ-100-S078,上海,SHA,Shanghai central area,100,CZ,78,data/instances/GISB-SHA-CZ-100-S078,metadata/generation_configs/gis_b_sha_cz_100_s078.json
GISB-SHA-CZ-100-S090,上海,SHA,Shanghai central area,100,CZ,90,data/instances/GISB-SHA-CZ-100-S090,metadata/generation_configs/gis_b_sha_cz_100_s090.json
GISB-SHA-CU-500-S012,上海,SHA,Shanghai central area,500,CU,12,data/instances/GISB-SHA-CU-500-S012,metadata/generation_configs/gis_b_sha_cu_500_s012.json
GISB-SHA-CU-500-S034,上海,SHA,Shanghai central area,500,CU,34,data/instances/GISB-SHA-CU-500-S034,metadata/generation_configs/gis_b_sha_cu_500_s034.json
GISB-SHA-CU-500-S056,上海,SHA,Shanghai central area,500,CU,56,data/instances/GISB-SHA-CU-500-S056,metadata/generation_configs/gis_b_sha_cu_500_s056.json
GISB-SHA-CU-500-S078,上海,SHA,Shanghai central area,500,CU,78,data/instances/GISB-SHA-CU-500-S078,metadata/generation_configs/gis_b_sha_cu_500_s078.json
GISB-SHA-CU-500-S090,上海,SHA,Shanghai central area,500,CU,90,data/instances/GISB-SHA-CU-500-S090,metadata/generation_configs/gis_b_sha_cu_500_s090.json
GISB-SHA-CH-500-S012,上海,SHA,Shanghai central area,500,CH,12,data/instances/GISB-SHA-CH-500-S012,metadata/generation_configs/gis_b_sha_ch_500_s012.json
GISB-SHA-CH-500-S034,上海,SHA,Shanghai central area,500,CH,34,data/instances/GISB-SHA-CH-500-S034,metadata/generation_configs/gis_b_sha_ch_500_s034.json
GISB-SHA-CH-500-S056,上海,SHA,Shanghai central area,500,CH,56,data/instances/GISB-SHA-CH-500-S056,metadata/generation_configs/gis_b_sha_ch_500_s056.json
GISB-SHA-CH-500-S078,上海,SHA,Shanghai central area,500,CH,78,data/instances/GISB-SHA-CH-500-S078,metadata/generation_configs/gis_b_sha_ch_500_s078.json
GISB-SHA-CH-500-S090,上海,SHA,Shanghai central area,500,CH,90,data/instances/GISB-SHA-CH-500-S090,metadata/generation_configs/gis_b_sha_ch_500_s090.json
GISB-SHA-CZ-500-S012,上海,SHA,Shanghai central area,500,CZ,12,data/instances/GISB-SHA-CZ-500-S012,metadata/generation_configs/gis_b_sha_cz_500_s012.json
GISB-SHA-CZ-500-S034,上海,SHA,Shanghai central area,500,CZ,34,data/instances/GISB-SHA-CZ-500-S034,metadata/generation_configs/gis_b_sha_cz_500_s034.json
GISB-SHA-CZ-500-S056,上海,SHA,Shanghai central area,500,CZ,56,data/instances/GISB-SHA-CZ-500-S056,metadata/generation_configs/gis_b_sha_cz_500_s056.json
GISB-SHA-CZ-500-S078,上海,SHA,Shanghai central area,500,CZ,78,data/instances/GISB-SHA-CZ-500-S078,metadata/generation_configs/gis_b_sha_cz_500_s078.json
GISB-SHA-CZ-500-S090,上海,SHA,Shanghai central area,500,CZ,90,data/instances/GISB-SHA-CZ-500-S090,metadata/generation_configs/gis_b_sha_cz_500_s090.json
GISB-SHA-CU-1000-S012,上海,SHA,Shanghai central area,1000,CU,12,data/instances/GISB-SHA-CU-1000-S012,metadata/generation_configs/gis_b_sha_cu_1000_s012.json
GISB-SHA-CU-1000-S034,上海,SHA,Shanghai central area,1000,CU,34,data/instances/GISB-SHA-CU-1000-S034,metadata/generation_configs/gis_b_sha_cu_1000_s034.json
GISB-SHA-CU-1000-S056,上海,SHA,Shanghai central area,1000,CU,56,data/instances/GISB-SHA-CU-1000-S056,metadata/generation_configs/gis_b_sha_cu_1000_s056.json
GISB-SHA-CU-1000-S078,上海,SHA,Shanghai central area,1000,CU,78,data/instances/GISB-SHA-CU-1000-S078,metadata/generation_configs/gis_b_sha_cu_1000_s078.json
GISB-SHA-CU-1000-S090,上海,SHA,Shanghai central area,1000,CU,90,data/instances/GISB-SHA-CU-1000-S090,metadata/generation_configs/gis_b_sha_cu_1000_s090.json
GISB-SHA-CH-1000-S012,上海,SHA,Shanghai central area,1000,CH,12,data/instances/GISB-SHA-CH-1000-S012,metadata/generation_configs/gis_b_sha_ch_1000_s012.json
GISB-SHA-CH-1000-S034,上海,SHA,Shanghai central area,1000,CH,34,data/instances/GISB-SHA-CH-1000-S034,metadata/generation_configs/gis_b_sha_ch_1000_s034.json
GISB-SHA-CH-1000-S056,上海,SHA,Shanghai central area,1000,CH,56,data/instances/GISB-SHA-CH-1000-S056,metadata/generation_configs/gis_b_sha_ch_1000_s056.json
GISB-SHA-CH-1000-S078,上海,SHA,Shanghai central area,1000,CH,78,data/instances/GISB-SHA-CH-1000-S078,metadata/generation_configs/gis_b_sha_ch_1000_s078.json
GISB-SHA-CH-1000-S090,上海,SHA,Shanghai central area,1000,CH,90,data/instances/GISB-SHA-CH-1000-S090,metadata/generation_configs/gis_b_sha_ch_1000_s090.json
GISB-SHA-CZ-1000-S012,上海,SHA,Shanghai central area,1000,CZ,12,data/instances/GISB-SHA-CZ-1000-S012,metadata/generation_configs/gis_b_sha_cz_1000_s012.json
GISB-SHA-CZ-1000-S034,上海,SHA,Shanghai central area,1000,CZ,34,data/instances/GISB-SHA-CZ-1000-S034,metadata/generation_configs/gis_b_sha_cz_1000_s034.json
GISB-SHA-CZ-1000-S056,上海,SHA,Shanghai central area,1000,CZ,56,data/instances/GISB-SHA-CZ-1000-S056,metadata/generation_configs/gis_b_sha_cz_1000_s056.json
GISB-SHA-CZ-1000-S078,上海,SHA,Shanghai central area,1000,CZ,78,data/instances/GISB-SHA-CZ-1000-S078,metadata/generation_configs/gis_b_sha_cz_1000_s078.json
GISB-SHA-CZ-1000-S090,上海,SHA,Shanghai central area,1000,CZ,90,data/instances/GISB-SHA-CZ-1000-S090,metadata/generation_configs/gis_b_sha_cz_1000_s090.json
GISB-CKG-CU-100-S012,重庆,CKG,Chongqing central area,100,CU,12,data/instances/GISB-CKG-CU-100-S012,metadata/generation_configs/gis_b_ckg_cu_100_s012.json
GISB-CKG-CU-100-S034,重庆,CKG,Chongqing central area,100,CU,34,data/instances/GISB-CKG-CU-100-S034,metadata/generation_configs/gis_b_ckg_cu_100_s034.json
GISB-CKG-CU-100-S056,重庆,CKG,Chongqing central area,100,CU,56,data/instances/GISB-CKG-CU-100-S056,metadata/generation_configs/gis_b_ckg_cu_100_s056.json
GISB-CKG-CU-100-S078,重庆,CKG,Chongqing central area,100,CU,78,data/instances/GISB-CKG-CU-100-S078,metadata/generation_configs/gis_b_ckg_cu_100_s078.json
GISB-CKG-CU-100-S090,重庆,CKG,Chongqing central area,100,CU,90,data/instances/GISB-CKG-CU-100-S090,metadata/generation_configs/gis_b_ckg_cu_100_s090.json
GISB-CKG-CH-100-S012,重庆,CKG,Chongqing central area,100,CH,12,data/instances/GISB-CKG-CH-100-S012,metadata/generation_configs/gis_b_ckg_ch_100_s012.json
GISB-CKG-CH-100-S034,重庆,CKG,Chongqing central area,100,CH,34,data/instances/GISB-CKG-CH-100-S034,metadata/generation_configs/gis_b_ckg_ch_100_s034.json
GISB-CKG-CH-100-S056,重庆,CKG,Chongqing central area,100,CH,56,data/instances/GISB-CKG-CH-100-S056,metadata/generation_configs/gis_b_ckg_ch_100_s056.json
GISB-CKG-CH-100-S078,重庆,CKG,Chongqing central area,100,CH,78,data/instances/GISB-CKG-CH-100-S078,metadata/generation_configs/gis_b_ckg_ch_100_s078.json
GISB-CKG-CH-100-S090,重庆,CKG,Chongqing central area,100,CH,90,data/instances/GISB-CKG-CH-100-S090,metadata/generation_configs/gis_b_ckg_ch_100_s090.json
GISB-CKG-CZ-100-S012,重庆,CKG,Chongqing central area,100,CZ,12,data/instances/GISB-CKG-CZ-100-S012,metadata/generation_configs/gis_b_ckg_cz_100_s012.json
GISB-CKG-CZ-100-S034,重庆,CKG,Chongqing central area,100,CZ,34,data/instances/GISB-CKG-CZ-100-S034,metadata/generation_configs/gis_b_ckg_cz_100_s034.json
GISB-CKG-CZ-100-S056,重庆,CKG,Chongqing central area,100,CZ,56,data/instances/GISB-CKG-CZ-100-S056,metadata/generation_configs/gis_b_ckg_cz_100_s056.json
GISB-CKG-CZ-100-S078,重庆,CKG,Chongqing central area,100,CZ,78,data/instances/GISB-CKG-CZ-100-S078,metadata/generation_configs/gis_b_ckg_cz_100_s078.json
GISB-CKG-CZ-100-S090,重庆,CKG,Chongqing central area,100,CZ,90,data/instances/GISB-CKG-CZ-100-S090,metadata/generation_configs/gis_b_ckg_cz_100_s090.json
GISB-CKG-CU-500-S012,重庆,CKG,Chongqing central area,500,CU,12,data/instances/GISB-CKG-CU-500-S012,metadata/generation_configs/gis_b_ckg_cu_500_s012.json
GISB-CKG-CU-500-S034,重庆,CKG,Chongqing central area,500,CU,34,data/instances/GISB-CKG-CU-500-S034,metadata/generation_configs/gis_b_ckg_cu_500_s034.json
GISB-CKG-CU-500-S056,重庆,CKG,Chongqing central area,500,CU,56,data/instances/GISB-CKG-CU-500-S056,metadata/generation_configs/gis_b_ckg_cu_500_s056.json
GISB-CKG-CU-500-S078,重庆,CKG,Chongqing central area,500,CU,78,data/instances/GISB-CKG-CU-500-S078,metadata/generation_configs/gis_b_ckg_cu_500_s078.json
GISB-CKG-CU-500-S090,重庆,CKG,Chongqing central area,500,CU,90,data/instances/GISB-CKG-CU-500-S090,metadata/generation_configs/gis_b_ckg_cu_500_s090.json
GISB-CKG-CH-500-S012,重庆,CKG,Chongqing central area,500,CH,12,data/instances/GISB-CKG-CH-500-S012,metadata/generation_configs/gis_b_ckg_ch_500_s012.json
GISB-CKG-CH-500-S034,重庆,CKG,Chongqing central area,500,CH,34,data/instances/GISB-CKG-CH-500-S034,metadata/generation_configs/gis_b_ckg_ch_500_s034.json
GISB-CKG-CH-500-S056,重庆,CKG,Chongqing central area,500,CH,56,data/instances/GISB-CKG-CH-500-S056,metadata/generation_configs/gis_b_ckg_ch_500_s056.json
GISB-CKG-CH-500-S078,重庆,CKG,Chongqing central area,500,CH,78,data/instances/GISB-CKG-CH-500-S078,metadata/generation_configs/gis_b_ckg_ch_500_s078.json
GISB-CKG-CH-500-S090,重庆,CKG,Chongqing central area,500,CH,90,data/instances/GISB-CKG-CH-500-S090,metadata/generation_configs/gis_b_ckg_ch_500_s090.json
GISB-CKG-CZ-500-S012,重庆,CKG,Chongqing central area,500,CZ,12,data/instances/GISB-CKG-CZ-500-S012,metadata/generation_configs/gis_b_ckg_cz_500_s012.json
GISB-CKG-CZ-500-S034,重庆,CKG,Chongqing central area,500,CZ,34,data/instances/GISB-CKG-CZ-500-S034,metadata/generation_configs/gis_b_ckg_cz_500_s034.json
GISB-CKG-CZ-500-S056,重庆,CKG,Chongqing central area,500,CZ,56,data/instances/GISB-CKG-CZ-500-S056,metadata/generation_configs/gis_b_ckg_cz_500_s056.json
GISB-CKG-CZ-500-S078,重庆,CKG,Chongqing central area,500,CZ,78,data/instances/GISB-CKG-CZ-500-S078,metadata/generation_configs/gis_b_ckg_cz_500_s078.json
GISB-CKG-CZ-500-S090,重庆,CKG,Chongqing central area,500,CZ,90,data/instances/GISB-CKG-CZ-500-S090,metadata/generation_configs/gis_b_ckg_cz_500_s090.json
GISB-CKG-CU-1000-S012,重庆,CKG,Chongqing central area,1000,CU,12,data/instances/GISB-CKG-CU-1000-S012,metadata/generation_configs/gis_b_ckg_cu_1000_s012.json
GISB-CKG-CU-1000-S034,重庆,CKG,Chongqing central area,1000,CU,34,data/instances/GISB-CKG-CU-1000-S034,metadata/generation_configs/gis_b_ckg_cu_1000_s034.json
GISB-CKG-CU-1000-S056,重庆,CKG,Chongqing central area,1000,CU,56,data/instances/GISB-CKG-CU-1000-S056,metadata/generation_configs/gis_b_ckg_cu_1000_s056.json
GISB-CKG-CU-1000-S078,重庆,CKG,Chongqing central area,1000,CU,78,data/instances/GISB-CKG-CU-1000-S078,metadata/generation_configs/gis_b_ckg_cu_1000_s078.json
GISB-CKG-CU-1000-S090,重庆,CKG,Chongqing central area,1000,CU,90,data/instances/GISB-CKG-CU-1000-S090,metadata/generation_configs/gis_b_ckg_cu_1000_s090.json
GISB-CKG-CH-1000-S012,重庆,CKG,Chongqing central area,1000,CH,12,data/instances/GISB-CKG-CH-1000-S012,metadata/generation_configs/gis_b_ckg_ch_1000_s012.json
GISB-CKG-CH-1000-S034,重庆,CKG,Chongqing central area,1000,CH,34,data/instances/GISB-CKG-CH-1000-S034,metadata/generation_configs/gis_b_ckg_ch_1000_s034.json
GISB-CKG-CH-1000-S056,重庆,CKG,Chongqing central area,1000,CH,56,data/instances/GISB-CKG-CH-1000-S056,metadata/generation_configs/gis_b_ckg_ch_1000_s056.json
GISB-CKG-CH-1000-S078,重庆,CKG,Chongqing central area,1000,CH,78,data/instances/GISB-CKG-CH-1000-S078,metadata/generation_configs/gis_b_ckg_ch_1000_s078.json
GISB-CKG-CH-1000-S090,重庆,CKG,Chongqing central area,1000,CH,90,data/instances/GISB-CKG-CH-1000-S090,metadata/generation_configs/gis_b_ckg_ch_1000_s090.json
GISB-CKG-CZ-1000-S012,重庆,CKG,Chongqing central area,1000,CZ,12,data/instances/GISB-CKG-CZ-1000-S012,metadata/generation_configs/gis_b_ckg_cz_1000_s012.json
GISB-CKG-CZ-1000-S034,重庆,CKG,Chongqing central area,1000,CZ,34,data/instances/GISB-CKG-CZ-1000-S034,metadata/generation_configs/gis_b_ckg_cz_1000_s034.json
GISB-CKG-CZ-1000-S056,重庆,CKG,Chongqing central area,1000,CZ,56,data/instances/GISB-CKG-CZ-1000-S056,metadata/generation_configs/gis_b_ckg_cz_1000_s056.json
GISB-CKG-CZ-1000-S078,重庆,CKG,Chongqing central area,1000,CZ,78,data/instances/GISB-CKG-CZ-1000-S078,metadata/generation_configs/gis_b_ckg_cz_1000_s078.json
GISB-CKG-CZ-1000-S090,重庆,CKG,Chongqing central area,1000,CZ,90,data/instances/GISB-CKG-CZ-1000-S090,metadata/generation_configs/gis_b_ckg_cz_1000_s090.json
